TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.1
               TIME:                   X                   Z
                2.86            0.029942           -0.092753
                2.87           0.0300306          -0.0928347
                2.88           0.0301182           -0.092917
                2.89           0.0302048          -0.0929999
                 2.9           0.0302905          -0.0930832
                2.91           0.0303751          -0.0931671
                2.92           0.0304587          -0.0932514
                2.93           0.0305413          -0.0933363
                2.94           0.0306228          -0.0934217
                2.95           0.0307033          -0.0935076
                2.96           0.0307828          -0.0935939
                2.97           0.0308612          -0.0936808
                2.98           0.0309386          -0.0937681
                2.99           0.0310149          -0.0938559
                   3           0.0310902          -0.0939442
                3.01           0.0311644          -0.0940329
                3.02           0.0312375           -0.094122
                3.03           0.0313095          -0.0942116
                3.04           0.0313805          -0.0943016
                3.05           0.0314503          -0.0943921
                3.06           0.0315191          -0.0944829
                3.07           0.0315868          -0.0945742
                3.08           0.0316533          -0.0946659
                3.09           0.0317188           -0.094758
                 3.1           0.0317831          -0.0948505
                3.11           0.0318463          -0.0949434
                3.12           0.0319084          -0.0950366
                3.13           0.0319693          -0.0951302
                3.14           0.0320291          -0.0952242
                3.15           0.0320878          -0.0953185
                3.16           0.0321453          -0.0954132
                3.17           0.0322017          -0.0955083
                3.18           0.0322569          -0.0956036
                3.19            0.032311          -0.0956993
                 3.2           0.0323639          -0.0957953
                3.21           0.0324157          -0.0958916
                3.22           0.0324663          -0.0959883
                3.23           0.0325157          -0.0960852
                3.24           0.0325639          -0.0961824
                3.25           0.0326109          -0.0962799
                3.26           0.0326568          -0.0963777
                3.27           0.0327015          -0.0964758
                3.28            0.032745          -0.0965741
                3.29           0.0327873          -0.0966726
                 3.3           0.0328283          -0.0967714
                3.31           0.0328682          -0.0968705
                3.32           0.0329069          -0.0969698
                3.33           0.0329444          -0.0970693
                3.34           0.0329807           -0.097169
                3.35           0.0330158          -0.0972689
                3.36           0.0330496          -0.0973691
                3.37           0.0330823          -0.0974694
                3.38           0.0331137          -0.0975699
                3.39           0.0331439          -0.0976706
                 3.4           0.0331728          -0.0977715
                3.41           0.0332006          -0.0978725
                3.42           0.0332271          -0.0979737
                3.43           0.0332524           -0.098075
                3.44           0.0332764          -0.0981764
                3.45           0.0332993           -0.098278
                3.46           0.0333209          -0.0983798
                3.47           0.0333412          -0.0984816
                3.48           0.0333603          -0.0985835
                3.49           0.0333782          -0.0986856
                 3.5           0.0333948          -0.0987877
                3.51           0.0334102          -0.0988899
                3.52           0.0334243          -0.0989922
                3.53           0.0334372          -0.0990946
                3.54           0.0334489          -0.0991971
                3.55           0.0334593          -0.0992995
                3.56           0.0334684          -0.0994021
                3.57           0.0334764          -0.0995046
                3.58            0.033483          -0.0996073
                3.59           0.0334884          -0.0997099
                 3.6           0.0334926          -0.0998125
                3.61           0.0334955          -0.0999152
                3.62           0.0334971           -0.100018
                3.63           0.0334976            -0.10012
                3.64           0.0334967           -0.100223
                3.65           0.0334946           -0.100326
                3.66           0.0334913           -0.100428
                3.67           0.0334867           -0.100531
                3.68           0.0334808           -0.100633
                3.69           0.0334738           -0.100736
                 3.7           0.0334654           -0.100838
                3.71           0.0334558            -0.10094
                3.72            0.033445           -0.101043
                3.73           0.0334329           -0.101145
                3.74           0.0334196           -0.101247
                3.75            0.033405           -0.101349
                3.76           0.0333892            -0.10145
                3.77           0.0333721           -0.101552
                3.78           0.0333538           -0.101654
                3.79           0.0333343           -0.101755
                 3.8           0.0333135           -0.101857
                3.81           0.0332915           -0.101958
                3.82           0.0332683           -0.102059
                3.83           0.0332438            -0.10216
                3.84           0.0332181            -0.10226
                3.85           0.0331911           -0.102361
                3.86           0.0331629           -0.102461
                3.87           0.0331336           -0.102561
                3.88           0.0331029           -0.102661
                3.89           0.0330711           -0.102761
                 3.9           0.0330381            -0.10286
                3.91           0.0330038           -0.102959
                3.92           0.0329683           -0.103058
                3.93           0.0329316           -0.103157
                3.94           0.0328937           -0.103256
                3.95           0.0328546           -0.103354
                3.96           0.0328143           -0.103452
                3.97           0.0327728            -0.10355
                3.98           0.0327301           -0.103647
                3.99           0.0326862           -0.103745
                   4           0.0326411           -0.103841
                4.01           0.0325949           -0.103938
                4.02           0.0325474           -0.104034
                4.03           0.0324988            -0.10413
                4.04            0.032449           -0.104226
                4.05            0.032398           -0.104321
                4.06           0.0323459           -0.104416
                4.07           0.0322926           -0.104511
                4.08           0.0322382           -0.104605
                4.09           0.0321826           -0.104699
                 4.1           0.0321258           -0.104793
                4.11           0.0320679           -0.104886
                4.12           0.0320089           -0.104979
                4.13           0.0319487           -0.105071
                4.14           0.0318874           -0.105163
                4.15           0.0318249           -0.105255
                4.16           0.0317614           -0.105346
                4.17           0.0316967           -0.105437
                4.18           0.0316309           -0.105527
                4.19            0.031564           -0.105617
                 4.2            0.031496           -0.105707
                4.21           0.0314269           -0.105796
                4.22           0.0313568           -0.105885
                4.23           0.0312855           -0.105973
                4.24           0.0312131           -0.106061
                4.25           0.0311397           -0.106148
                4.26           0.0310652           -0.106235
                4.27           0.0309897           -0.106321
                4.28            0.030913           -0.106407
                4.29           0.0308354           -0.106492
                 4.3           0.0307567           -0.106577
                4.31           0.0306769           -0.106661
                4.32           0.0305961           -0.106745
                4.33           0.0305143           -0.106828
                4.34           0.0304315           -0.106911
                4.35           0.0303476           -0.106993
                4.36           0.0302628           -0.107075
                4.37           0.0301769           -0.107156
                4.38           0.0300901           -0.107237
                4.39           0.0300022           -0.107317
                 4.4           0.0299134           -0.107396
                4.41           0.0298236           -0.107475
                4.42           0.0297328           -0.107553
