TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -1
               TIME:                   X                   Z
                2.82           0.0204738                  -1
                2.83           0.0205373                  -1
                2.84           0.0206001                  -1
                2.85           0.0206622                  -1
                2.86           0.0207237                  -1
                2.87           0.0207845                  -1
                2.88           0.0208446                  -1
                2.89            0.020904                  -1
                 2.9           0.0209627                  -1
                2.91           0.0210207                  -1
                2.92            0.021078                  -1
                2.93           0.0211346                  -1
                2.94           0.0211904                  -1
                2.95           0.0212455                  -1
                2.96              0.0213                  -1
                2.97           0.0213536                  -1
                2.98           0.0214066                  -1
                2.99           0.0214588                  -1
                   3           0.0215103                  -1
                3.01            0.021561                  -1
                3.02            0.021611                  -1
                3.03           0.0216602                  -1
                3.04           0.0217086                  -1
                3.05           0.0217563                  -1
                3.06           0.0218033                  -1
                3.07           0.0218494                  -1
                3.08           0.0218948                  -1
                3.09           0.0219395                  -1
                 3.1           0.0219833                  -1
                3.11           0.0220264                  -1
                3.12           0.0220686                  -1
                3.13           0.0221101                  -1
                3.14           0.0221508                  -1
                3.15           0.0221907                  -1
                3.16           0.0222298                  -1
                3.17           0.0222681                  -1
                3.18           0.0223056                  -1
                3.19           0.0223423                  -1
                 3.2           0.0223782                  -1
                3.21           0.0224132                  -1
                3.22           0.0224475                  -1
                3.23           0.0224809                  -1
                3.24           0.0225135                  -1
                3.25           0.0225453                  -1
                3.26           0.0225763                  -1
                3.27           0.0226064                  -1
                3.28           0.0226357                  -1
                3.29           0.0226642                  -1
                 3.3           0.0226918                  -1
                3.31           0.0227186                  -1
                3.32           0.0227446                  -1
                3.33           0.0227697                  -1
                3.34            0.022794                  -1
                3.35           0.0228174                  -1
                3.36             0.02284                  -1
                3.37           0.0228618                  -1
                3.38           0.0228826                  -1
                3.39           0.0229027                  -1
                 3.4           0.0229218                  -1
                3.41           0.0229402                  -1
                3.42           0.0229576                  -1
                3.43           0.0229742                  -1
                3.44             0.02299                  -1
                3.45           0.0230049                  -1
                3.46           0.0230189                  -1
                3.47           0.0230321                  -1
                3.48           0.0230444                  -1
                3.49           0.0230558                  -1
                 3.5           0.0230664                  -1
                3.51           0.0230761                  -1
                3.52           0.0230849                  -1
                3.53           0.0230929                  -1
                3.54              0.0231                  -1
                3.55           0.0231062                  -1
                3.56           0.0231115                  -1
                3.57            0.023116                  -1
                3.58           0.0231196                  -1
                3.59           0.0231224                  -1
                 3.6           0.0231242                  -1
                3.61           0.0231252                  -1
                3.62           0.0231253                  -1
                3.63           0.0231246                  -1
                3.64            0.023123                  -1
                3.65           0.0231205                  -1
                3.66           0.0231171                  -1
                3.67           0.0231128                  -1
                3.68           0.0231077                  -1
                3.69           0.0231017                  -1
                 3.7           0.0230949                  -1
                3.71           0.0230872                  -1
                3.72           0.0230786                  -1
                3.73           0.0230691                  -1
                3.74           0.0230587                  -1
                3.75           0.0230475                  -1
                3.76           0.0230355                  -1
                3.77           0.0230225                  -1
                3.78           0.0230087                  -1
                3.79            0.022994                  -1
                 3.8           0.0229785                  -1
                3.81           0.0229621                  -1
                3.82           0.0229448                  -1
                3.83           0.0229267                  -1
                3.84           0.0229077                  -1
                3.85           0.0228879                  -1
                3.86           0.0228672                  -1
                3.87           0.0228456                  -1
                3.88           0.0228232                  -1
                3.89              0.0228                  -1
                 3.9           0.0227759                  -1
                3.91           0.0227509                  -1
                3.92           0.0227251                  -1
                3.93           0.0226984                  -1
                3.94            0.022671                  -1
                3.95           0.0226426                  -1
                3.96           0.0226135                  -1
                3.97           0.0225834                  -1
                3.98           0.0225526                  -1
                3.99           0.0225209                  -1
                   4           0.0224884                  -1
                4.01           0.0224551                  -1
                4.02           0.0224209                  -1
                4.03            0.022386                  -1
                4.04           0.0223502                  -1
                4.05           0.0223136                  -1
                4.06           0.0222761                  -1
                4.07           0.0222379                  -1
                4.08           0.0221988                  -1
                4.09            0.022159                  -1
                 4.1           0.0221183                  -1
                4.11           0.0220769                  -1
                4.12           0.0220346                  -1
                4.13           0.0219916                  -1
                4.14           0.0219478                  -1
                4.15           0.0219031                  -1
                4.16           0.0218577                  -1
                4.17           0.0218115                  -1
                4.18           0.0217646                  -1
                4.19           0.0217169                  -1
                 4.2           0.0216684                  -1
                4.21           0.0216191                  -1
                4.22           0.0215691                  -1
                4.23           0.0215183                  -1
                4.24           0.0214667                  -1
                4.25           0.0214144                  -1
                4.26           0.0213614                  -1
                4.27           0.0213076                  -1
                4.28           0.0212531                  -1
                4.29           0.0211978                  -1
                 4.3           0.0211419                  -1
                4.31           0.0210851                  -1
                4.32           0.0210277                  -1
                4.33           0.0209696                  -1
                4.34           0.0209107                  -1
                4.35           0.0208511                  -1
                4.36           0.0207909                  -1
                4.37           0.0207299                  -1
                4.38           0.0206682                  -1
                4.39           0.0206059                  -1
                 4.4           0.0205428                  -1
                4.41           0.0204791                  -1
                4.42           0.0204147                  -1
                4.43           0.0203497                  -1
                4.44           0.0202839                  -1
                4.45           0.0202176                  -1
                4.46           0.0201505                  -1
                4.47           0.0200828                  -1
                4.48           0.0200145                  -1
                4.49           0.0199455                  -1
                 4.5           0.0198759                  -1
                4.51           0.0198056                  -1
                4.52           0.0197348                  -1
                4.53           0.0196633                  -1
                4.54           0.0195912                  -1
                4.55           0.0195185                  -1
                4.56           0.0194452                  -1
                4.57           0.0193713                  -1
                4.58           0.0192968                  -1
                4.59           0.0192217                  -1
                 4.6           0.0191461                  -1
                4.61           0.0190699                  -1
                4.62           0.0189931                  -1
                4.63           0.0189157                  -1
                4.64           0.0188378                  -1
                4.65           0.0187594                  -1
                4.66           0.0186804                  -1
                4.67           0.0186008                  -1
                4.68           0.0185208                  -1
                4.69           0.0184402                  -1
                 4.7           0.0183591                  -1
                4.71           0.0182774                  -1
                4.72           0.0181953                  -1
                4.73           0.0181127                  -1
                4.74           0.0180296                  -1
                4.75            0.017946                  -1
                4.76           0.0178619                  -1
                4.77           0.0177773                  -1
                4.78           0.0176923                  -1
                4.79           0.0176068                  -1
                 4.8           0.0175208                  -1
                4.81           0.0174345                  -1
                4.82           0.0173476                  -1
                4.83           0.0172604                  -1
                4.84           0.0171727                  -1
                4.85           0.0170846                  -1
                4.86            0.016996                  -1
                4.87           0.0169071                  -1
                4.88           0.0168178                  -1
                4.89           0.0167281                  -1
                 4.9           0.0166379                  -1
                4.91           0.0165475                  -1
                4.92           0.0164566                  -1
                4.93           0.0163654                  -1
                4.94           0.0162738                  -1
                4.95           0.0161819                  -1
                4.96           0.0160896                  -1
                4.97            0.015997                  -1
                4.98            0.015904                  -1
                4.99           0.0158108                  -1
                   5           0.0157172                  -1
                5.01           0.0156233                  -1
                5.02           0.0155291                  -1
                5.03           0.0154346                  -1
                5.04           0.0153399                  -1
                5.05           0.0152448                  -1
                5.06           0.0151495                  -1
                5.07           0.0150539                  -1
                5.08           0.0149581                  -1
                5.09            0.014862                  -1
                 5.1           0.0147657                  -1
                5.11           0.0146692                  -1
                5.12           0.0145724                  -1
                5.13           0.0144754                  -1
                5.14           0.0143782                  -1
                5.15           0.0142808                  -1
                5.16           0.0141832                  -1
                5.17           0.0140854                  -1
                5.18           0.0139874                  -1
                5.19           0.0138892                  -1
                 5.2           0.0137909                  -1
                5.21           0.0136924                  -1
                5.22           0.0135938                  -1
                5.23           0.0134951                  -1
                5.24           0.0133962                  -1
                5.25           0.0132971                  -1
                5.26            0.013198                  -1
                5.27           0.0130987                  -1
                5.28           0.0129994                  -1
                5.29           0.0128999                  -1
                 5.3           0.0128004                  -1
                5.31           0.0127008                  -1
                5.32           0.0126011                  -1
                5.33           0.0125013                  -1
                5.34           0.0124015                  -1
                5.35           0.0123016                  -1
                5.36           0.0122017                  -1
                5.37           0.0121018                  -1
                5.38           0.0120018                  -1
                5.39           0.0119018                  -1
                 5.4           0.0118018                  -1
                5.41           0.0117018                  -1
                5.42           0.0116018                  -1
                5.43           0.0115018                  -1
                5.44           0.0114019                  -1
                5.45           0.0113019                  -1
                5.46            0.011202                  -1
                5.47           0.0111022                  -1
                5.48           0.0110024                  -1
                5.49           0.0109027                  -1
                 5.5            0.010803                  -1
                5.51           0.0107034                  -1
                5.52           0.0106039                  -1
                5.53           0.0105044                  -1
                5.54           0.0104051                  -1
                5.55           0.0103059                  -1
                5.56           0.0102068                  -1
                5.57           0.0101078                  -1
                5.58            0.010009                  -1
                5.59          0.00991025                  -1
                 5.6          0.00981168                  -1
                5.61          0.00971326                  -1
                5.62            0.009615                  -1
                5.63          0.00951691                  -1
                5.64          0.00941899                  -1
                5.65          0.00932126                  -1
                5.66          0.00922372                  -1
                5.67          0.00912637                  -1
                5.68          0.00902923                  -1
                5.69          0.00893231                  -1
                 5.7           0.0088356                  -1
                5.71          0.00873913                  -1
                5.72          0.00864289                  -1
                5.73          0.00854689                  -1
                5.74          0.00845115                  -1
                5.75          0.00835566                  -1
                5.76          0.00826044                  -1
                5.77          0.00816549                  -1
                5.78          0.00807082                  -1
                5.79          0.00797644                  -1
                 5.8          0.00788236                  -1
                5.81          0.00778858                  -1
                5.82           0.0076951                  -1
                5.83          0.00760195                  -1
                5.84          0.00750912                  -1
                5.85          0.00741662                  -1
